	tconst	Box office max	genres
0	tt0439572	2713000000.0	Action
1	tt0870154	2209000000.0	Adventure
2	tt0920462	83257.0	Fantasy
3	tt0983946	49000000.0	Action
4	tt0993840	1000000.0	Adventure
5	tt0995854	67000000.0	Comedy
6	tt10003008	43000000.0	Drama
7	tt1001520	218000000.0	Thriller
8	tt10976066	36000000.0	Fantasy
9	tt10980638	787280.0	Horror
10	tt10986222	45000000.0	Mystery
11	tt10993566	2663916.0	Action
12	tt11007444	19000000.0	Crime
13	tt11027510	203.0	Drama
14	tt11027850	182.0	Drama
15	tt11032374	5071000000.0	Romance
16	tt11057302	1003000000.0	War
17	tt11068094	23000000.0	Drama
18	tt11075264	5052.0	Horror
19	tt11083552	104000000.0	Mystery
20	tt11083552	104000000.0	Fantasy
21	tt11084896	427000000.0	Horror
22	tt11102214	2070871.0	Drama
23	tt11125620	120000000.0	Musical
24	tt11125620	120000000.0	Romance
25	tt11128440	47000000.0	Adventure
26	tt11132342	3000000.0	Crime
27	tt11136276	74701.0	Drama
28	tt11136276	74701.0	Drama
29	tt11136276	74701.0	Comedy
30	tt11136454	235261.0	Crime
31	tt11138512	696000000.0	Biography
32	tt11140488	266963.0	Drama
33	tt11145118	2753000000.0	Action
34	tt11152168	199000000.0	Adventure
35	tt11186586	250000.0	Drama
36	tt11190652	29000000.0	Thriller
37	tt11198810	139000000.0	Action
38	tt11209212	725952.0	Adventure
39	tt11210390	465000000.0	Animation
40	tt11214590	1662000000.0	Action
41	tt11224358	24138.0	Adventure
42	tt11242218	2131000000.0	Sci-Fi
43	tt11242654	509000.0	Adventure
44	tt11271038	333000000.0	Biography
45	tt11279796	250000.0	Drama
46	tt11281192	366000000.0	Action
47	tt11283984	34000000.0	Comedy
48	tt11286314	791863.0	Drama
49	tt11291274	291000000.0	Action
50	tt11304740	2549000000.0	Crime
51	tt11310380	263000.0	Thriller
52	tt11310884	590416.0	Action
53	tt11313944	8332.0	Crime
54	tt11317142	349271.0	Thriller
55	tt11317774	2269000000.0	Adventure
56	tt11333488	52285.0	Animation
57	tt11338144	66000000.0	Comedy
58	tt11338144	66000000.0	Comedy
59	tt11341742	302000000.0	Sci-Fi
60	tt11349638	5000000.0	Short
61	tt11350068	15000000.0	Adventure
62	tt11358166	53222.0	Animation
63	tt11358390	269000000.0	Comedy
64	tt11358398	347000000.0	Adventure
65	tt11359120	45.0	Animation
66	tt11363540	179000000.0	Comedy
67	tt11380884	4689.0	Comedy
68	tt11383960	34000000.0	Drama
69	tt11390180	1176000000000.0	Comedy
70	tt11394158	105908.0	Drama
71	tt11405250	1011000000.0	Drama
72	tt11405250	1011000000.0	Thriller
73	tt11422728	37000000.0	Drama
74	tt11432356	2131000000.0	Thriller
75	tt11433696	21.0	Drama
76	tt11459366	1634000000.0	Thriller
77	tt11460816	72731.0	Drama
78	tt11464446	428000000.0	Action
79	tt11464826	595000000.0	Adventure
80	tt11466222	805000000.0	Drama
81	tt11478150	94000000.0	Comedy
82	tt11486994	601000000.0	Horror
83	tt11490170	11.0	Mystery
84	tt11496264	37000000.0	Action
85	tt11502856	192000000.0	Drama
86	tt11512676	1822000000.0	Sport
87	tt11517944	1190416.0	Comedy
88	tt11535228	214000000.0	Drama
89	tt11540284	8362.0	Family
90	tt11543916	44.0	Crime
91	tt11547520	117000000.0	Comedy
92	tt11552344	470000.0	Drama
93	tt11562006	31000000.0	Drama
94	tt11562006	31000000.0	History
95	tt11562006	31000000.0	Crime
96	tt11562006	31000000.0	Drama
97	tt11562006	31000000.0	Horror
98	tt11562006	31000000.0	Adventure
99	tt11562006	31000000.0	Comedy
100	tt11564570	15000000.0	Family
101	tt11566164	8357581.0	Biography
102	tt11569456	11000000.0	Crime
103	tt11571408	1011000000.0	Drama
104	tt11575056	106645.0	Documentary
105	tt11576698	103000000.0	Drama
106	tt11580630	166749.0	Horror
107	tt11580944	551.0	Mystery
108	tt11586384	16781408.0	Animation
109	tt11589586	11864.0	Drama
110	tt11591848	29000000.0	History
112	tt11608184	7235.0	Drama
113	tt11611064	242623.0	Romance
114	tt11618536	18370.0	Drama
115	tt11620774	216000000.0	Short
116	tt11626842	471000000.0	Drama
117	tt11636880	958440.0	Romance
118	tt11639052	25000000.0	Documentary
