	tconst	Box office max	genres
0	tt0439572	2713000000.0	Action,Adventure,Fantasy
1	tt0870154	2209000000.0	Action,Adventure,Comedy
2	tt0920462	83257.0	Drama,Thriller
3	tt0983946	49000000.0	Fantasy,Horror,Mystery
4	tt0993840	1000000.0	Action,Crime,Drama
5	tt0995854	67000000.0	Drama,Romance,War
6	tt10003008	43000000.0	Drama,Horror,Mystery
7	tt1001520	218000000.0	Fantasy,Horror
8	tt10976066	36000000.0	Drama,Musical,Romance
9	tt10980638	787280.0	Adventure,Crime,Drama
10	tt10986222	45000000.0	Drama
11	tt10993566	2663916.0	Comedy,Crime
12	tt11007444	19000000.0	Biography,Drama
13	tt11027510	203.0	Action,Adventure,Drama
14	tt11027850	182.0	Thriller
15	tt11032374	5071000000.0	Action,Adventure,Animation
16	tt11057302	1003000000.0	Action,Adventure,Sci-Fi
17	tt11068094	23000000.0	Adventure,Biography,Drama
18	tt11075264	5052.0	Action,Comedy,Drama
19	tt11083552	104000000.0	Action,Crime,Thriller
20	tt11083552	104000000.0	Action,Crime,Thriller
21	tt11084896	427000000.0	Adventure,Animation,Comedy
22	tt11102214	2070871.0	Comedy,Sci-Fi,Short
23	tt11125620	120000000.0	Adventure,Animation,Comedy
24	tt11125620	120000000.0	Adventure,Animation,Comedy
25	tt11128440	47000000.0	Comedy,Drama
26	tt11132342	3000000.0	Comedy,Drama
27	tt11136276	74701.0	Drama,Thriller
28	tt11136276	74701.0	Drama,Thriller
29	tt11136276	74701.0	Drama,Thriller
30	tt11136454	235261.0	Drama
31	tt11138512	696000000.0	Action,Adventure,Drama
32	tt11140488	266963.0	Comedy,Horror,Mystery
33	tt11145118	2753000000.0	Action,Drama,Sport
34	tt11152168	199000000.0	Comedy,Drama,Family
35	tt11186586	250000.0	Crime
36	tt11190652	29000000.0	Comedy,Drama
37	tt11198810	139000000.0	Drama,History
38	tt11209212	725952.0	Crime,Drama,Horror
39	tt11210390	465000000.0	Adventure,Comedy,Family
40	tt11214590	1662000000.0	Biography,Crime,Drama
41	tt11224358	24138.0	Documentary
42	tt11242218	2131000000.0	Drama,Horror,Mystery
43	tt11242654	509000.0	Animation,Drama,History
44	tt11271038	333000000.0	Comedy,Drama,Romance
45	tt11279796	250000.0	Drama,Short
46	tt11281192	366000000.0	Drama,Romance
47	tt11283984	34000000.0	Documentary,Short
48	tt11286314	791863.0	Comedy,Drama,Sci-Fi
49	tt11291274	291000000.0	Action,Comedy,Crime
50	tt11304740	2549000000.0	Adventure,Animation,Comedy
51	tt11310380	263000.0	Documentary
52	tt11310884	590416.0	Horror
53	tt11313944	8332.0	Drama,Romance
54	tt11317142	349271.0	Comedy,Drama
55	tt11317774	2269000000.0	Romance,Short
56	tt11333488	52285.0	Drama,Horror,Mystery
57	tt11338144	66000000.0	Crime,Drama
58	tt11338144	66000000.0	Crime,Drama
59	tt11341742	302000000.0	Documentary,Sci-Fi
60	tt11349638	5000000.0	Drama
61	tt11350068	15000000.0	Crime,Mystery,Romance
62	tt11358166	53222.0	Documentary
63	tt11358390	269000000.0	Action,Comedy,Fantasy
64	tt11358398	347000000.0	Drama,History,Thriller
65	tt11359120	45.0	Documentary
66	tt11363540	179000000.0	Comedy,Drama
67	tt11380884	4689.0	Drama,Music,Romance
68	tt11383960	34000000.0	Drama,Short
69	tt11390180	1176000000000.0	Adventure,Fantasy
70	tt11394158	105908.0	Drama
71	tt11405250	1011000000.0	Documentary
72	tt11405250	1011000000.0	Documentary
73	tt11422728	37000000.0	Documentary,History,Music
74	tt11432356	2131000000.0	Family
75	tt11433696	21.0	Comedy,Drama,Romance
76	tt11459366	1634000000.0	Biography,Comedy,Crime
77	tt11460816	72731.0	Comedy,Fantasy,Musical
78	tt11464446	428000000.0	Drama,Romance
79	tt11464826	595000000.0	Documentary,Drama
80	tt11466222	805000000.0	Action,Comedy,Documentary
